index,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,genre,song_name,title,song_ids,artist_name
431,0.715,0.81,2,-6.625,0,0.415,0.181,0.0,0.535,0.594,133.25799999999998,audio_features,7GnVIUv3x6I3bQdZeEu92l,spotify:track:7GnVIUv3x6I3bQdZeEu92l,https://api.spotify.com/v1/tracks/7GnVIUv3x6I3bQdZeEu92l,https://api.spotify.com/v1/audio-analysis/7GnVIUv3x6I3bQdZeEu92l,174096,5,Underground Rap,Ghetto Bag (feat. Peezy),,7GnVIUv3x6I3bQdZeEu92l,Allstar JR
432,0.5870000000000001,0.642,1,-5.371,1,0.3429999999999999,0.0111,1.65e-05,0.348,0.7559999999999999,181.788,audio_features,3TMORdp92ZjkP17syHaqC3,spotify:track:3TMORdp92ZjkP17syHaqC3,https://api.spotify.com/v1/tracks/3TMORdp92ZjkP17syHaqC3,https://api.spotify.com/v1/audio-analysis/3TMORdp92ZjkP17syHaqC3,160528,4,Underground Rap,Starlight Glitz,,3TMORdp92ZjkP17syHaqC3,Pete Rock
433,0.753,0.826,0,-4.894,1,0.233,0.0641,0.0,0.356,0.445,149.954,audio_features,3C3UGD7IoKlYCaT0tDNbFa,spotify:track:3C3UGD7IoKlYCaT0tDNbFa,https://api.spotify.com/v1/tracks/3C3UGD7IoKlYCaT0tDNbFa,https://api.spotify.com/v1/audio-analysis/3C3UGD7IoKlYCaT0tDNbFa,188000,4,Underground Rap,CUTTHROAT SMILE,,3C3UGD7IoKlYCaT0tDNbFa,BEXEY
434,0.6890000000000001,0.768,8,-6.256,1,0.0661,0.00758,0.0,0.276,0.0975,139.947,audio_features,6sCEx08GanNTBCqsazxJjD,spotify:track:6sCEx08GanNTBCqsazxJjD,https://api.spotify.com/v1/tracks/6sCEx08GanNTBCqsazxJjD,https://api.spotify.com/v1/audio-analysis/6sCEx08GanNTBCqsazxJjD,130351,4,Underground Rap,I Will One Day Learn To Fly Into The Stars,,6sCEx08GanNTBCqsazxJjD,$uicideboy$
435,0.59,0.6779999999999999,9,-13.906,0,0.43,0.5429999999999999,0.0,0.281,0.688,180.048,audio_features,3CHijanwflq8GQxcrXoj6e,spotify:track:3CHijanwflq8GQxcrXoj6e,https://api.spotify.com/v1/tracks/3CHijanwflq8GQxcrXoj6e,https://api.spotify.com/v1/audio-analysis/3CHijanwflq8GQxcrXoj6e,233013,4,Underground Rap,Keep Ya Ear to the Streets,,3CHijanwflq8GQxcrXoj6e,Kasinova Tha Don
436,0.542,0.586,2,-9.438,1,0.389,0.126,0.0,0.0907,0.218,173.632,audio_features,419L78ol3yH3i0DHw7BcEB,spotify:track:419L78ol3yH3i0DHw7BcEB,https://api.spotify.com/v1/tracks/419L78ol3yH3i0DHw7BcEB,https://api.spotify.com/v1/audio-analysis/419L78ol3yH3i0DHw7BcEB,128052,4,Underground Rap,Love Won't Change,,419L78ol3yH3i0DHw7BcEB,J.I the Prince of N.Y
437,0.8140000000000001,0.758,0,-6.5120000000000005,1,0.384,0.185,0.091,0.204,0.82,159.94,audio_features,5twSsmNWVzQ5VNA6GzwtHn,spotify:track:5twSsmNWVzQ5VNA6GzwtHn,https://api.spotify.com/v1/tracks/5twSsmNWVzQ5VNA6GzwtHn,https://api.spotify.com/v1/audio-analysis/5twSsmNWVzQ5VNA6GzwtHn,131590,4,Underground Rap,Rapture,,5twSsmNWVzQ5VNA6GzwtHn,Ghostemane
441,0.8959999999999999,0.563,11,-7.33,0,0.244,0.182,0.0,0.295,0.3979999999999999,119.932,audio_features,3Ye8J2z6SsiUVKcHugqRqn,spotify:track:3Ye8J2z6SsiUVKcHugqRqn,https://api.spotify.com/v1/tracks/3Ye8J2z6SsiUVKcHugqRqn,https://api.spotify.com/v1/audio-analysis/3Ye8J2z6SsiUVKcHugqRqn,177288,4,Underground Rap,No Face No Case,,3Ye8J2z6SsiUVKcHugqRqn,JayO Sama
442,0.929,0.5579999999999999,6,-9.056,0,0.307,0.0126,0.0,0.1,0.741,194.018,audio_features,5iemVO9OZkHyGcj8jhqEoM,spotify:track:5iemVO9OZkHyGcj8jhqEoM,https://api.spotify.com/v1/tracks/5iemVO9OZkHyGcj8jhqEoM,https://api.spotify.com/v1/audio-analysis/5iemVO9OZkHyGcj8jhqEoM,160000,4,Underground Rap,Cash App (feat. YBN Almighty Jay),,5iemVO9OZkHyGcj8jhqEoM,SprngBrk
443,0.8290000000000001,0.619,1,-7.257999999999999,1,0.198,0.29,0.000371,0.0975,0.351,192.07,audio_features,4X5AMbgW6whnAuDX10fhgq,spotify:track:4X5AMbgW6whnAuDX10fhgq,https://api.spotify.com/v1/tracks/4X5AMbgW6whnAuDX10fhgq,https://api.spotify.com/v1/audio-analysis/4X5AMbgW6whnAuDX10fhgq,148093,4,Underground Rap,Revenge,,4X5AMbgW6whnAuDX10fhgq,$NOT
444,0.7709999999999999,0.574,8,-8.232999999999999,1,0.149,0.203,9.9e-05,0.1889999999999999,0.389,146.013,audio_features,69nnbPs1iWyhflqKSz6IP5,spotify:track:69nnbPs1iWyhflqKSz6IP5,https://api.spotify.com/v1/tracks/69nnbPs1iWyhflqKSz6IP5,https://api.spotify.com/v1/audio-analysis/69nnbPs1iWyhflqKSz6IP5,197260,4,Underground Rap,Give or Take,,69nnbPs1iWyhflqKSz6IP5,D'Andre Martin
445,0.6579999999999999,0.865,1,-5.69,1,0.324,0.204,0.0,0.0793,0.413,179.90900000000002,audio_features,6gaD2Zs6dITGjt53LYGr6e,spotify:track:6gaD2Zs6dITGjt53LYGr6e,https://api.spotify.com/v1/tracks/6gaD2Zs6dITGjt53LYGr6e,https://api.spotify.com/v1/audio-analysis/6gaD2Zs6dITGjt53LYGr6e,260034,4,Underground Rap,Furious Stylze,,6gaD2Zs6dITGjt53LYGr6e,K.A.A.N.
446,0.789,0.535,1,-7.254,1,0.0923,0.317,0.0,0.1169999999999999,0.773,178.078,audio_features,5pgOjtwyKuzOVj8QAMKdJB,spotify:track:5pgOjtwyKuzOVj8QAMKdJB,https://api.spotify.com/v1/tracks/5pgOjtwyKuzOVj8QAMKdJB,https://api.spotify.com/v1/audio-analysis/5pgOjtwyKuzOVj8QAMKdJB,173933,4,Underground Rap,Netflix & Chill (feat. Fenix Flexin),,5pgOjtwyKuzOVj8QAMKdJB,Yung Tory
