danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
0.6990000000000001,0.521,7.0,-6.546,1.0,0.0297,0.494,0.0,0.141,0.208,114.996,155495.0,4.0
0.7090000000000001,0.6579999999999999,7.0,-5.787999999999999,1.0,0.0563,0.0117,0.0,0.573,0.217,138.971,200373.0,4.0
0.5720000000000001,0.944,9.0,-4.612,1.0,0.196,0.00729,0.0,0.691,0.5760000000000001,133.02700000000002,92131.0,4.0
0.8059999999999999,0.737,5.0,-6.648,0.0,0.282,0.191,0.0,0.3429999999999999,0.6890000000000001,127.925,137000.0,4.0
0.8809999999999999,0.742,0.0,-3.736,1.0,0.0535,0.14,2.49e-06,0.156,0.432,116.997,184782.0,4.0
0.804,0.639,1.0,-9.229,1.0,0.292,0.374,0.000278,0.138,0.54,108.048,141930.0,4.0
0.792,0.445,10.0,-7.871,0.0,0.544,0.00256,0.0,0.108,0.3989999999999999,157.153,171467.0,4.0
0.7659999999999999,0.606,9.0,-6.064,1.0,0.456,0.00266,0.0,0.166,0.352,160.22299999999998,140000.0,4.0
0.8370000000000001,0.294,0.0,-7.99,1.0,0.0832,0.485,1.35e-05,0.111,0.0673,140.135,110535.0,4.0
0.485,0.7120000000000001,6.0,-7.48,0.0,0.126,0.00951,0.0,0.406,0.179,179.97799999999998,236408.0,3.0
0.921,0.5670000000000001,10.0,-7.911,0.0,0.301,0.127,0.0,0.306,0.6409999999999999,183.986,166957.0,4.0
0.7120000000000001,0.759,11.0,-5.397,1.0,0.3339999999999999,0.016,0.0808,0.217,0.738,158.20600000000002,249333.0,4.0
0.302,0.4529999999999999,10.0,-9.473,1.0,0.0561,0.496,8.68e-06,0.113,0.163,150.408,178108.0,1.0
0.815,0.618,9.0,-6.518,1.0,0.213,0.036,0.0,0.315,0.1689999999999999,109.997,105626.0,4.0
0.8340000000000001,0.736,1.0,-3.803,1.0,0.198,0.00349,0.0,0.119,0.174,150.724,89253.0,4.0
0.785,0.626,5.0,-5.505,1.0,0.33,0.073,0.0,0.0806,0.695,176.02599999999998,160387.0,4.0
0.725,0.903,1.0,-3.795,1.0,0.16,0.0118,0.0,0.0581,0.7290000000000001,151.878,126316.0,4.0
0.807,0.493,10.0,-7.087000000000001,0.0,0.139,0.3929999999999999,0.0,0.138,0.262,151.178,214974.0,4.0
0.705,0.421,6.0,-11.784,0.0,0.507,0.607,0.0,0.108,0.528,199.778,175334.0,4.0
0.74,0.574,4.0,-6.938,1.0,0.245,0.411,0.0,0.262,0.33,149.762,140747.0,4.0
0.939,0.785,10.0,-5.29,0.0,0.314,0.291,0.0,0.0916,0.545,105.069,226420.0,4.0
0.7490000000000001,0.902,6.0,-5.113,0.0,0.146,0.282,0.00126,0.1119999999999999,0.508,190.058,217307.0,4.0
0.915,0.807,9.0,-4.174,0.0,0.1669999999999999,0.0851,0.0,0.185,0.836,135.936,99109.0,4.0
0.8859999999999999,0.743,6.0,-6.797000000000001,0.0,0.0812,0.0358,0.000198,0.0511,0.941,131.90200000000002,139760.0,4.0
0.735,0.5820000000000001,9.0,-11.241,1.0,0.0568,0.669,0.0793,0.106,0.451,110.015,181102.0,4.0
0.868,0.652,0.0,-3.624,1.0,0.363,0.271,0.0,0.126,0.69,184.108,273933.0,4.0
0.498,0.83,6.0,-5.157,0.0,0.0421,0.00461,0.0,0.139,0.4529999999999999,178.68400000000003,231480.0,4.0
0.643,0.7170000000000001,8.0,-4.876,0.0,0.506,0.184,0.0,0.152,0.46,181.786,223507.0,4.0
0.831,0.6459999999999999,6.0,-6.462999999999999,0.0,0.0761,0.1159999999999999,0.0,0.211,0.342,200.09,175200.0,4.0
0.787,0.86,6.0,-6.38,0.0,0.182,0.206,0.0,0.0777,0.625,179.99400000000003,224000.0,4.0
0.895,0.406,7.0,-6.674,1.0,0.445,0.0753,0.0,0.0805,0.335,128.091,92813.0,4.0
0.853,0.591,7.0,-10.575,1.0,0.248,0.079,0.1639999999999999,0.0769,0.31,153.985,168418.0,4.0
0.779,0.726,8.0,-6.94,1.0,0.0317,0.0489,0.0,0.6559999999999999,0.451,196.032,166818.0,4.0
0.78,0.494,1.0,-10.487,1.0,0.268,0.12,1.02e-06,0.13,0.368,149.923,144033.0,4.0
0.684,0.882,4.0,-4.803,0.0,0.0411,0.0056,0.0336,0.118,0.131,139.951,102019.0,4.0
0.769,0.884,2.0,-6.81,1.0,0.4639999999999999,0.127,0.0,0.121,0.4629999999999999,180.88,118991.0,4.0
0.784,0.432,0.0,-10.672,1.0,0.263,0.297,3.71e-05,0.111,0.209,182.164,131625.0,4.0
0.937,0.508,3.0,-3.429,1.0,0.118,0.623,1.41e-06,0.1689999999999999,0.7,130.029,88686.0,3.0
0.7809999999999999,0.504,10.0,-7.72,0.0,0.0361,0.118,0.146,0.114,0.0793,124.032,247989.0,4.0
0.852,0.616,0.0,-4.728,1.0,0.0747,0.045,0.0,0.321,0.685,189.516,227600.0,4.0
0.894,0.511,2.0,-4.768,1.0,0.421,0.0251,0.0,0.14,0.5670000000000001,120.077,176632.0,4.0
0.823,0.7340000000000001,11.0,-4.262,1.0,0.0678,0.115,0.0,0.102,0.568,142.958,122517.0,4.0
0.6970000000000001,0.769,8.0,-6.061,0.0,0.124,0.013,0.0,0.4639999999999999,0.365,145.143,149498.0,4.0
0.912,0.465,1.0,-9.136,1.0,0.501,0.371,0.0,0.313,0.4379999999999999,136.001,132795.0,4.0
0.922,0.4579999999999999,11.0,-7.405,1.0,0.286,0.0534,0.0,0.0484,0.615,138.094,172460.0,4.0
0.818,0.695,11.0,-10.213,0.0,0.0558,0.0969,0.0103,0.0857,0.575,140.05700000000002,127481.0,4.0
